Class_Name_1,URI_1,Instances_Names_1,Class_Name_2,URI_2,Instances_Names_2,Relation
academicfield,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:academicfield," fine arts photography ,  descriptive studies ,  fashion media ",AcademicConference,http://dbpedia.org/ontology/AcademicConference," International Conference on Business Process Management ,  Pattern Languages of Programs ,  The Future of Freedom Conference ",0
academicfield,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:academicfield," road racing history ,  thomson one analytics ,  science nursing ",AcademicSubject,http://dbpedia.org/ontology/AcademicSubject,,1
academicfield,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:academicfield," plant propagation ,  nhk science   technical ,  oriental studies ",Colour,http://dbpedia.org/ontology/Colour," Flax (color) ,  Puce ,  Sarah Jane Smith: Ghost Town ",0
academicfield,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:academicfield," natural environments ,  consumer bankruptcy law ,  management online ",Election,http://dbpedia.org/ontology/Election," New York gubernatorial election, 2014 ,  Waterford City Council election, 1999 ,  Nikkur ",0
academicfield,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:academicfield," diagnostic medical imaging ,  mystery traditions ,  technician program description ",TelevisionShow,http://dbpedia.org/ontology/TelevisionShow," World Chess News ,  HiRISE ,  Air Guitar in Oulu ",0
actor,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:actor," javier bardem ,  allison janney and j k  simmons ,  vince vaughn and owen wilson ",Actor,http://dbpedia.org/ontology/Actor," Cameron Marshall ,  Faye Wong ,  Inday Ba ",1
actor,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:actor," paul popowich ,  rosario dawson and woody harrelson ,  tammy lynn sytch ",Airport,http://dbpedia.org/ontology/Airport," Lakeville, Indiana ,  Monmouth Executive Airport ,  Tsetzi Lake (Pan Phillips) Airport ",0
actor,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:actor," robert hardy ,  jon abrahams ,  neil ross ",Artery,http://dbpedia.org/ontology/Artery," Route 1 (Hong Kong) ,  Cystic artery ,  Pericardiacophrenic artery ",0
actor,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:actor," josh radnor ,  laura la plante ,  brett gelman ",Artwork,http://dbpedia.org/ontology/Artwork," Interlocking Forms ,  The Bathers (Renoir) ,  Portrait of Countess Karoly ",0
actor,http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:actor," grant heslov ,  jesper christensen ,  david calder ",Award,http://dbpedia.org/ontology/Award," Order of Loyalty and Diligence ,  8th Canadian Folk Music Awards ,  AVN Award for Best Supporting Actress ",0
